prefecture,url1,url2
北海道,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=14&block_no=47412&year=2024&month=07&day=7&view=a1,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=14163
青森県,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=31&block_no=47575&year=2024&month=07&day=7&view=a1,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=31312
秋田県,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=32&block_no=47582&year=2024&month=07&day=7&view=a1,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=32402
岩手県,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=33&block_no=47584&year=2024&month=07&day=7&view=a1,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=33431
宮城県,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=34&block_no=47590&year=2024&month=07&day=7&view=a1,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=34392
山形県,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=35&block_no=47588&year=2024&month=07&day=7&view=a1,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=35426
福島県,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=36&block_no=47595&year=2024&month=07&day=7&view=a1,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=36127
茨城県,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=40&block_no=47629&year=2024&month=07&day=7&view=a1,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=40201
栃木県,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=41&block_no=47615&year=2024&month=07&day=7&view=a1,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=41277
群馬県,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=42&block_no=47624&year=2024&month=07&day=7&view=a1,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=42251
埼玉県,https://www.data.jma.go.jp/stats/etrn/view/daily_a1.php?prec_no=43&block_no=0363&year=2024&month=07&day=7&view=a1,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=43241
東京都,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=44&block_no=47662&year=2024&month=07&day=7&view=a1,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=44132
千葉県,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2024&month=07&day=7&view=a1,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=45212
神奈川県,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=46&block_no=47670&year=2024&month=07&day=7&view=a1,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=46106
長野県,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=48&block_no=47610&year=2024&month=07&day=7&view=a1,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=48156
山梨県,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=49&block_no=47638&year=2024&month=07&day=7&view=a1,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=49142
静岡県,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=50&block_no=47656&year=2024&month=07&day=7&view=a1,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=50331
愛知県,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=51&block_no=47636&year=2024&month=07&day=7&view=a1,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=51106
岐阜県,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=52&block_no=47632&year=2024&month=07&day=7&view=a1,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=52586
三重県,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=53&block_no=47651&year=2024&month=07&day=7&view=a1,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=53133
新潟県,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=54&block_no=47604&year=2024&month=07&day=7&view=a1,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=54232
富山県,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=55&block_no=47607&year=2024&month=07&day=7&view=a1,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=55102
石川県,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=56&block_no=47605&year=2024&month=07&day=7&view=a1,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=56227
福井県,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=57&block_no=47616&year=2024&month=07&day=7&view=a1,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=57066
滋賀県,https://www.data.jma.go.jp/stats/etrn/view/daily_a1.php?prec_no=60&block_no=0586&year=2024&month=07&day=7&view=a1,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=60216
京都府,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=61&block_no=47759&year=2024&month=07&day=7&view=a1,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=61286
大阪府,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=62&block_no=47772&year=2024&month=07&day=7&view=a1,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=62078
兵庫県,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=63&block_no=47770&year=2024&month=07&day=7&view=a1,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=63518
奈良県,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=64&block_no=47780&year=2024&month=07&day=7&view=a1,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=64036
和歌山県,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=65&block_no=47777&year=2024&month=07&day=7&view=a1,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=65042
岡山県,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=66&block_no=47768&year=2024&month=07&day=7&view=a1,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=66408
広島県,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=67&block_no=47765&year=2024&month=07&day=7&view=a1,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=67437
島根県,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=68&block_no=47741&year=2024&month=07&day=7&view=a1,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=68132
鳥取県,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=69&block_no=47746&year=2024&month=07&day=7&view=a1,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=69122
徳島県,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=71&block_no=47895&year=2024&month=07&day=7&view=a1,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=71106
香川県,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=72&block_no=47891&year=2024&month=07&day=7&view=a1,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=72086
愛媛県,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=73&block_no=47887&year=2024&month=07&day=7&view=a1,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=73166
高知県,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=74&block_no=47893&year=2024&month=07&day=7&view=a1,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=74182
山口県,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=81&block_no=47784&year=2024&month=07&day=7&view=a1,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=81286
福岡県,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=82&block_no=47807&year=2024&month=07&day=7&view=a1,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=82182
大分県,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=83&block_no=47815&year=2024&month=07&day=7&view=a1,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=83216
長崎県,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=84&block_no=47817&year=2024&month=07&day=7&view=a1,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=84496
佐賀県,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=85&block_no=47813&year=2024&month=07&day=7&view=a1,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=85142
熊本県,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=86&block_no=47819&year=2024&month=07&day=7&view=a1,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=86141
宮崎県,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=87&block_no=47830&year=2024&month=07&day=7&view=a1,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=87376
鹿児島県,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=88&block_no=47827&year=2024&month=07&day=7&view=a1,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=88317
沖縄県,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=91&block_no=47936&year=2024&month=07&day=7&view=a1,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=91197
