prefecture,url
hokkaido,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=14&block_no=47412&year=2024&month=07&day=7&view=a1
aomori,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=31&block_no=47575&year=2024&month=07&day=7&view=a1
akita,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=32&block_no=47582&year=2024&month=07&day=7&view=a1
iwate,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=33&block_no=47584&year=2024&month=07&day=7&view=a1
miyagi,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=34&block_no=47590&year=2024&month=07&day=7&view=a1
yamagata,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=35&block_no=47588&year=2024&month=07&day=7&view=a1
hukushima,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=36&block_no=47595&year=2024&month=07&day=7&view=a1
ibaraki,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=40&block_no=47629&year=2024&month=07&day=7&view=a1
tochigi,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=41&block_no=47615&year=2024&month=07&day=7&view=a1
gunma,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=42&block_no=47624&year=2024&month=07&day=7&view=a1
saitama,https://www.data.jma.go.jp/stats/etrn/view/daily_a1.php?prec_no=43&block_no=0363&year=2024&month=07&day=7&view=a1
tokyo,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=44&block_no=47662&year=2024&month=07&day=7&view=a1
chiba,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2024&month=07&day=7&view=a1
kanagawa,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=46&block_no=47670&year=2024&month=07&day=7&view=a1
nagano,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=48&block_no=47610&year=2024&month=07&day=7&view=a1
yamanashi,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=49&block_no=47638&year=2024&month=07&day=7&view=a1
shizuoka,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=50&block_no=47656&year=2024&month=07&day=7&view=a1
aichi,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=51&block_no=47636&year=2024&month=07&day=7&view=a1
gihu,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=52&block_no=47632&year=2024&month=07&day=7&view=a1
mie,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=53&block_no=47651&year=2024&month=07&day=7&view=a1
niigata,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=54&block_no=47604&year=2024&month=07&day=7&view=a1
toyama,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=55&block_no=47607&year=2024&month=07&day=7&view=a1
ishikawa,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=56&block_no=47605&year=2024&month=07&day=7&view=a1
fukui,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=57&block_no=47616&year=2024&month=07&day=7&view=a1
shiga,https://www.data.jma.go.jp/stats/etrn/view/daily_a1.php?prec_no=60&block_no=0586&year=2024&month=07&day=7&view=a1
kyoto,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=61&block_no=47759&year=2024&month=07&day=7&view=a1
osaka,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=62&block_no=47772&year=2024&month=07&day=7&view=a1
hyogo,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=63&block_no=47770&year=2024&month=07&day=7&view=a1
nara,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=64&block_no=47780&year=2024&month=07&day=7&view=a1
wakayama,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=65&block_no=47777&year=2024&month=07&day=7&view=a1
okayama,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=66&block_no=47768&year=2024&month=07&day=7&view=a1
hiroshima,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=67&block_no=47765&year=2024&month=07&day=7&view=a1
shimane,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=68&block_no=47741&year=2024&month=07&day=7&view=a1
tottori,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=69&block_no=47746&year=2024&month=07&day=7&view=a1
tokushima,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=71&block_no=47895&year=2024&month=07&day=7&view=a1
kagawa,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=72&block_no=47891&year=2024&month=07&day=7&view=a1
ehime,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=73&block_no=47887&year=2024&month=07&day=7&view=a1
kochi,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=74&block_no=47893&year=2024&month=07&day=7&view=a1
yamaguchi,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=81&block_no=47784&year=2024&month=07&day=7&view=a1
fukuoka,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=82&block_no=47807&year=2024&month=07&day=7&view=a1
oita,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=83&block_no=47815&year=2024&month=07&day=7&view=a1
nagasaki,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=84&block_no=47817&year=2024&month=07&day=7&view=a1
saga,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=85&block_no=47813&year=2024&month=07&day=7&view=a1
kumamoto,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=86&block_no=47819&year=2024&month=07&day=7&view=a1
miyazaki,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=87&block_no=47830&year=2024&month=07&day=7&view=a1
kagoshima,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=88&block_no=47827&year=2024&month=07&day=7&view=a1
okinawa,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=91&block_no=47936&year=2024&month=07&day=7&view=a1